Air Pollution,87.91,Very High
"Dissatisfaction to Spend Time in the City","78.24","High"
"Dissatisfaction with Garbage Disposal","55.80","Moderate"
"Dirty and Untidy","59.37","Moderate"
"Noise and Light Pollution","61.06","High"
"Dissatisfaction with Green and Parks in the City","49.02","Moderate"
"Water Pollution","74.54","High"
"Drinking Water Pollution and Inaccessibility","66.26","High"
